12-MAR-25|6517|3870|9504500007|R|104|0|82.16
12-MAR-25|6517|3870|30521235200|R|3|0|14.97
12-MAR-25|6517|3870|3003410609|R|11|0|19.69
12-MAR-25|6517|3870|3890003039|A|4|0|7
12-MAR-25|6517|3870|4000000263|R|17|0|33.83
12-MAR-25|6517|3870|4116400071|R|3|0|8.07
12-MAR-25|6515|1335|2840069735|A|1|0|.62
12-MAR-25|6515|1335|2840076644|R|6|0|82.14
12-MAR-25|6515|1335|3003400085|R|45|0|115.26
12-MAR-25|6515|1335|3022307467|R|2|0|6.68
12-MAR-25|6515|1335|7131400185|R|6|0|25.74
12-MAR-25|6514|2649|2100000870|A|17|0|21.25
12-MAR-25|6514|2649|2200002036|R|8|0|32.72
12-MAR-25|6517|3870|3003409677|R|6|0|41.94
12-MAR-25|6515|1335|9811155791|R|1|0|5.99
12-MAR-25|230|3017|19056952219|R|20|0|20
12-MAR-25|229|383|9070|R|195|0|1.95
12-MAR-25|229|383|9849|R|493|0|17158.76
12-MAR-25|230|3017|85005271130|R|2|0|10.98
12-MAR-25|465|301|4179060316|R|4|0|33.96
12-MAR-25|231|311|22784800000|R|4|4|31.96
12-MAR-25|231|311|25358400000|R|15|11.27|101.28
12-MAR-25|231|311|2400039342|R|7|0|20.93
12-MAR-25|231|311|2400050785|R|54|0|54
12-MAR-25|231|311|2700041916|R|11|0|13.75
12-MAR-25|465|301|63216911030|R|1|0|7.99
12-MAR-25|515|307|20787000000|R|11|11|54.89
12-MAR-25|231|311|7210620248|R|6|0|53.94
12-MAR-25|440|306|25319900000|R|18|61.64|183.43
12-MAR-25|515|307|1380044784|R|30|0|117.71
12-MAR-25|6514|2649|7027700008|R|3|0|17.97
12-MAR-25|6520|1338|72225206869|R|3|0|38.97
12-MAR-25|6517|3870|60265218403|R|3|0|14.07
12-MAR-25|6520|1338|2840051691|R|9|0|53.91
12-MAR-25|6520|1338|2840051784|R|9|0|65.61
12-MAR-25|6515|1335|7326000008|R|4|0|47.96
12-MAR-25|6520|1338|3077200179|R|3|0|4.5
12-MAR-25|6520|1338|21169600000|A|20|29.42|117.94
12-MAR-25|6520|1338|21556700000|R|7|7|48.93
12-MAR-25|6519|3350|7033073231|R|2|0|21.58
